phase,phase_label,runs,best_test_q8,mean_test_q8
baseline,Baseline,2,0.6695098212705716,0.6561257594526042
tune_final,Optuna Final,2,0.68201498259895,0.6673037220550935
research_incremental,Incremental,1,0.6877720757388073,0.6877720757388073
research_stage1,Research Stage 1,48,0.684114905916357,0.6314983582060206
research_stage2,Research Stage 2,8,0.691877543797558,0.6851191529522799
research_stage3_confirm,Research Stage 3,12,0.6917241786114552,0.6880670087890048
research_phase4,Research Phase 4,8,0.692620775084056,0.6795036276765174
