run_name,epoch,seconds,train_loss,val_loss,train_q8_accuracy,val_q8_accuracy
baseline_cnn1d,1,3.2392139434814453,1.028463645155427,0.9372003749718243,0.6295669688251847,0.6645873670743697
baseline_cnn1d,2,2.167585611343384,0.8941108895512371,0.86213308556904,0.677476800932412,0.6888091323181543
baseline_cnn1d,3,2.155189275741577,0.8649671515558156,0.8612262261950151,0.6873511228120819,0.6881995097260563
baseline_cnn1d,4,2.1530957221984863,0.8396738567780252,0.8380840660762857,0.6961228717683815,0.6967685709501955
baseline_cnn1d,5,2.196104049682617,0.8230209293863655,0.8075597974385988,0.7016921672828849,0.7060674620381143
cnn1d_optuna_final,1,,0.9791313076067386,0.9376329488483869,0.6483183049894681,0.6595644203648291
cnn1d_optuna_final,2,,0.8681554688020311,0.8314777771795817,0.6865014037185792,0.6976443667867308
cnn1d_optuna_final,3,,0.8299109453313854,0.8485350724907489,0.6991777367086245,0.6927416273488716
cnn1d_optuna_final,4,,0.8043086725428947,0.8089134116956346,0.7087384330224932,0.7059343754158957
cnn1d_optuna_final,5,,0.787501111746144,0.7950798383247065,0.7137000111776586,0.7112149091361819
cnn1d_optuna_final,6,,0.7680519323164775,0.7848349079140354,0.7201591785397637,0.7151731628679738
cnn1d_optuna_final,7,,0.7528662467708023,0.7795397527182112,0.7254365526798707,0.7167487367503681
cnn1d_optuna_final,8,,0.7385930832068924,0.7785708347780458,0.7310698755590186,0.7169590994758104
cnn1d_optuna_final,9,,0.7265045455351398,0.7746250543781323,0.7347313726490291,0.7194534003631977
cnn1d_optuna_final,10,,0.7088297861216286,0.8017386794801644,0.7402561745711523,0.7139710901511607
cnn1d_optuna_final,11,,0.6984633495626661,0.7769962996200289,0.744010999684204,0.7195092108821926
cnn1d_optuna_final,12,,0.6842508310943624,0.774719758150868,0.7492840329860301,0.7203249030828872
cnn1d_optuna_final,13,,0.6763403402465733,0.8065283486614866,0.7517962931411499,0.7130308975619389
cnn1d_optuna_final,14,,0.6624173152191389,0.7797035402645517,0.7567133777039353,0.7201059541237533
cnn1d_optuna_final,15,,0.6503589994197689,0.7863369676234557,0.7603347220398468,0.7199814537352263
cnn1d_optuna_final,16,,0.6388434129055364,0.8002696826205558,0.7642067497864851,0.7168732371388952
cnn1d_optuna_final,17,,0.6290670201742347,0.801690130487382,0.7674265665814054,0.7193246068578248
cnn1d_optuna_final,18,,0.619285609714334,0.7963010197303386,0.7708851294817799,0.7151731628679738
p4_07_resdil_b42_ce_none_c320_e24_seed7,1,22.791316747665405,0.9847871484440196,0.8476719906673147,0.647366764696307,0.6939662204514816
p4_07_resdil_b42_ce_none_c320_e24_seed7,2,22.356934070587158,0.8423854737782108,0.8380945241036911,0.6946510542708005,0.7017198890615742
p4_07_resdil_b42_ce_none_c320_e24_seed7,3,22.379388093948364,0.7996834574290979,0.7920195467569154,0.7094846390085622,0.7138054799460763
p4_07_resdil_b42_ce_none_c320_e24_seed7,4,22.379801273345947,0.7710849218519163,0.7647908005805435,0.7192666225352419,0.7222374872274839
p4_07_resdil_b42_ce_none_c320_e24_seed7,5,22.381186485290527,0.7424311790121264,0.7606179821854722,0.7291972783209801,0.7265994624810023
p4_07_resdil_b42_ce_none_c320_e24_seed7,6,22.38369607925415,0.7278894529341202,0.7698241431538314,0.7342423683382349,0.7238646413820936
p4_07_resdil_b42_ce_none_c320_e24_seed7,7,22.368473291397095,0.6997115130172185,0.7792506678180444,0.7437248369488546,0.7199362876842892
p4_07_resdil_b42_ce_none_c320_e24_seed7,8,22.355438709259033,0.6835106458588546,0.8378680647307497,0.7496608753214902,0.7060303449223345
p4_07_resdil_b42_ce_none_c320_e24_seed7,9,22.374012231826782,0.6531390472576621,0.780714819430788,0.7598248488860433,0.7253458239238887
p4_07_resdil_b42_ce_none_c320_e24_seed7,10,22.396000385284424,0.6296549798155774,0.7574345815229688,0.7679497335836526,0.7297120924601369
p4_07_resdil_b42_ce_none_c320_e24_seed7,11,22.380481481552124,0.6057136825990542,0.7689701779406173,0.7760550846997797,0.7293900962553989
p4_07_resdil_b42_ce_none_c320_e24_seed7,12,22.37643313407898,0.5765728363718572,0.7745962956180444,0.7860400004340796,0.7353963987944462
p4_07_resdil_b42_ce_none_c320_e24_seed7,13,22.420331478118896,0.5493856770079746,0.8012199168210185,0.7956689709058156,0.7332282910158766
p4_07_resdil_b42_ce_none_c320_e24_seed7,14,22.365209341049194,0.5224586701437176,0.8189483453563777,0.8052349998372201,0.7334129021732597
p4_07_resdil_b42_ce_none_c320_e24_seed7,15,22.38219666481018,0.4945592607205365,0.8843672367906332,0.8154098253914855,0.7214775761843021
p4_07_resdil_b42_ce_none_c320_e24_seed7,16,22.41615581512451,0.46553063881771245,0.8660923787672207,0.8252124276986186,0.7302959789113952
p4_07_resdil_b42_ce_none_c320_e24_seed7,17,22.392836332321167,0.4415603240194641,0.8698235069369823,0.8338527819075627,0.7265436498055143
